,Value,Positions,Height,Main position
Brajan Gruda,€25.00m,"['Right Winger', 'Centre-Forward', 'Attacking Midfield']","1,78 m",Right Winger
Simon Adingra,€30.00m,"['Right Winger', 'Left Winger', 'Left Midfield']","1,75 m",Right Winger
Julio Enciso,€22.00m,"['Attacking Midfield', 'Second Striker', 'Left Winger']","1,73 m",Attacking Midfield
Jakub Moder,€10.00m,"['Central Midfield', 'Defensive Midfield', 'Attacking Midfield']","1,91 m",Central Midfield
James Milner,€1.00m,"['Central Midfield', 'Right-Back', 'Left-Back']","1,75 m",Central Midfield
Matt O'Riley,€20.00m,"['Central Midfield', 'Attacking Midfield', 'Defensive Midfield']","1,89 m",Central Midfield
Mats Wieffer,€30.00m,"['Defensive Midfield', 'Central Midfield', 'Centre-Back']","1,88 m",Defensive Midfield
Yasin Ayari,€4.50m,"['Central Midfield', 'Right Midfield', 'Attacking Midfield']","1,72 m",Central Midfield
Joel Veltman,€8.00m,"['Right-Back', 'Centre-Back']","1,84 m",Right-Back
Jack Hinshelwood,€20.00m,"['Central Midfield', 'Right-Back', 'Left-Back']","1,82 m",Central Midfield
Bart Verbruggen,€22.00m,['Goalkeeper'],"1,94 m",Goalkeeper
Jason Steele,€3.50m,['Goalkeeper'],"1,88 m",Goalkeeper
Joao Pedro,€25.00m,"['Right-Back', 'Left-Back', 'Right Midfield']","1,82 m",Right-Back
Carlos Baleba,€22.00m,"['Defensive Midfield', 'Central Midfield']","1,79 m",Defensive Midfield
Pervis Estupinan,€30.00m,"['Left-Back', 'Left Midfield']","1,75 m",Left-Back
Tariq Lamptey,€12.00m,"['Right-Back', 'Right Midfield', 'Left-Back']","1,63 m",Right-Back
Kaoru Mitoma,€45.00m,"['Left Winger', 'Left Midfield']","1,78 m",Left Winger
Jan Paul van Hecke,€22.00m,['Centre-Back'],"1,89 m",Centre-Back
Ferdi Kadıoglu,€30.00m,"['Left-Back', 'Right-Back', 'Central Midfield']","1,74 m",Left-Back
Yoane Wissa,€28.00m,"['Centre-Forward', 'Left Winger', 'Right Winger']","1,76 m",Centre-Forward
Kevin Schade,€22.00m,"['Left Winger', 'Right Winger', 'Centre-Forward']","1,85 m",Left Winger
Yehor Yarmoliuk,€10.00m,"['Attacking Midfield', 'Central Midfield']","1,80 m",Attacking Midfield
Mathias Jensen,€28.00m,['Central Midfield'],"1,80 m",Central Midfield
Mads Roerslev,€10.00m,"['Right-Back', 'Right Midfield']","1,84 m",Right-Back
Sepp van den Berg,€18.00m,"['Centre-Back', 'Right-Back']","1,92 m",Centre-Back
Ethan Pinnock,€10.00m,['Centre-Back'],"1,94 m",Centre-Back
Kristoffer Ajer,€15.00m,"['Centre-Back', 'Right-Back', 'Left-Back']","1,98 m",Centre-Back
Ben Mee,€1.00m,"['Centre-Back', 'Left-Back']","1,80 m",Centre-Back
Mark Flekken,€12.00m,['Goalkeeper'],"1,95 m",Goalkeeper
Vitaly Janelt,€22.00m,"['Defensive Midfield', 'Central Midfield', 'Left-Back']","1,84 m",Defensive Midfield
Christian Nørgaard,€18.00m,"['Defensive Midfield', 'Central Midfield']","1,87 m",Defensive Midfield
Mikkel Damsgaard,€10.00m,"['Left Winger', 'Attacking Midfield', 'Centre-Forward']","1,80 m",Left Winger
Nathan Collins,€25.00m,['Centre-Back'],"1,93 m",Centre-Back
Bryan Mbeumo,€40.00m,"['Right Winger', 'Second Striker', 'Centre-Forward']","1,71 m",Right Winger
David Brooks,€8.00m,"['Right Winger', 'Attacking Midfield', 'Second Striker']","1,73 m",Right Winger
Antoine Semenyo,€20.00m,"['Right Winger', 'Left Winger', 'Centre-Forward']","1,85 m",Right Winger
Justin Kluivert,€14.00m,"['Left Winger', 'Right Winger', 'Attacking Midfield']","1,72 m",Left Winger
Alex Scott,€20.00m,"['Central Midfield', 'Attacking Midfield', 'Right Midfield']","1,78 m",Central Midfield
Ryan Christie,€12.00m,"['Central Midfield', 'Attacking Midfield', 'Right Midfield']","1,78 m",Central Midfield
Milos Kerkez,€20.00m,"['Left-Back', 'Left Midfield']","1,80 m",Left-Back
Illia Zabarnyi,€32.00m,['Centre-Back'],"1,89 m",Centre-Back
Dean Huijsen,€12.00m,['Centre-Back'],"1,97 m",Centre-Back
Max Aarons,€16.00m,"['Right-Back', 'Left-Back']","1,77 m",Right-Back
Adam Smith,€1.00m,"['Right-Back', 'Left-Back', 'Right Midfield']","1,74 m",Right-Back
Kepa Arrizabalaga,€12.00m,['Goalkeeper'],"1,88 m",Goalkeeper
Mark Travers,€3.50m,['Goalkeeper'],"1,91 m",Goalkeeper
Dango Ouattara,€20.00m,"['Left Winger', 'Left-Back', 'Right Winger']","1,77 m",Left Winger
Evanilson,€35.00m,['Centre-Forward'],"1,83 m",Centre-Forward
Philip Billing,€18.00m,"['Central Midfield', 'Defensive Midfield', 'Attacking Midfield']","1,93 m",Central Midfield
Julian Araujo,€8.00m,['Right-Back'],"1,76 m",Right-Back
Ollie Watkins,€65.00m,['Centre-Forward'],"1,80 m",Centre-Forward
Jhon Duran,€35.00m,['Centre-Forward'],"1,85 m",Centre-Forward
Youri Tielemans,€30.00m,"['Central Midfield', 'Defensive Midfield', 'Attacking Midfield']","1,77 m",Central Midfield
Amadou Onana,€55.00m,"['Defensive Midfield', 'Central Midfield']","1,95 m",Defensive Midfield
Leon Bailey,€42.00m,"['Right Winger', 'Left Winger']","1,78 m",Right Winger
John McGinn,€30.00m,"['Central Midfield', 'Left Midfield']","1,78 m",Central Midfield
Boubacar Kamara,€38.00m,"['Defensive Midfield', 'Centre-Back', 'Central Midfield']","1,84 m",Defensive Midfield
Jacob Ramsey,€32.00m,"['Attacking Midfield', 'Central Midfield', 'Left Midfield']","1,80 m",Attacking Midfield
Lamare Bogarde,€450k,"['Centre-Back', 'Defensive Midfield', 'Central Midfield']","1,85 m",Centre-Back
Pau Torres,€45.00m,['Centre-Back'],"1,92 m",Centre-Back
Lucas Digne,€12.00m,"['Left-Back', 'Left Midfield']","1,78 m",Left-Back
Ezri Konsa,€35.00m,"['Centre-Back', 'Right-Back']","1,83 m",Centre-Back
Robin Olsen,€1.50m,['Goalkeeper'],"1,96 m",Goalkeeper
Emiliano Martinez,€28.00m,['Goalkeeper'],"1,95 m",Goalkeeper
Ian Maatsen,€40.00m,"['Left-Back', 'Left Midfield', 'Left Winger']","1,78 m",Left-Back
Matty Cash,€28.00m,"['Right-Back', 'Right Midfield', 'Central Midfield']","1,85 m",Right-Back
Kosta Nedeljkovic,€8.00m,"['Right-Back', 'Right Midfield']","1,84 m",Right-Back
Morgan Rogers,€22.00m,"['Attacking Midfield', 'Right Winger', 'Left Winger']","1,87 m",Attacking Midfield
Chris Wood,€7.00m,['Centre-Forward'],"1,91 m",Centre-Forward
Jota Silva,€12.00m,"['Left Winger', 'Right Winger', 'Centre-Forward']","1,79 m",Left Winger
Anthony Elanga,€25.00m,"['Right Winger', 'Left Winger', 'Centre-Forward']","1,78 m",Right Winger
James Ward-Prowse,€22.00m,"['Central Midfield', 'Attacking Midfield', 'Right Midfield']","1,77 m",Central Midfield
Morgan Gibbs-White,€40.00m,"['Attacking Midfield', 'Central Midfield', 'Right Winger']","1,71 m",Attacking Midfield
Nicolas Dominguez,€17.00m,"['Central Midfield', 'Defensive Midfield', 'Left Midfield']","1,79 m",Central Midfield
Ola Aina,€12.00m,"['Right-Back', 'Left-Back', 'Right Midfield']","1,84 m",Right-Back
Neco Williams,€17.00m,"['Right-Back', 'Right Midfield', 'Left-Back']","1,83 m",Right-Back
Morato,€15.00m,"['Centre-Back', 'Left-Back']","1,92 m",Centre-Back
Harry Toffolo,€5.00m,"['Left-Back', 'Left Midfield']","1,83 m",Left-Back
Matz Sels,€7.00m,['Goalkeeper'],"1,88 m",Goalkeeper
Danilo,€7.00m,"['Centre-Back', 'Right-Back', 'Left-Back']","1,84 m",Centre-Back
Murillo,€40.00m,['Centre-Back'],"1,84 m",Centre-Back
Eric da Silva Moreira,€1.00m,"['Right Winger', 'Right-Back', 'Centre-Forward']","1,85 m",Right Winger
Alex Moreno,€13.00m,"['Left-Back', 'Left Midfield']","1,79 m",Left-Back
Nikola Milenkovic,€18.00m,"['Centre-Back', 'Right-Back']","1,95 m",Centre-Back
Willy Boly,€2.50m,['Centre-Back'],"1,95 m",Centre-Back
Taiwo Awoniyi,€28.00m,['Centre-Forward'],"1,83 m",Centre-Forward
Ibrahim Sangare,€30.00m,"['Defensive Midfield', 'Central Midfield']","1,91 m",Defensive Midfield
Ramon Sosa,€13.00m,"['Left Winger', 'Right Winger']","1,79 m",Left Winger
Hee-Chan Hwang,€25.00m,"['Centre-Forward', 'Left Winger', 'Right Winger']","1,77 m",Centre-Forward
Jørgen Strand Larsen,€25.00m,"['Centre-Forward', 'Right Winger', 'Left Winger']","1,93 m",Centre-Forward
Carlos Borges,€8.00m,"['Left Winger', 'Right Winger']","1,69 m",Left Winger
Nelson Semedo,€12.00m,"['Right-Back', 'Right Midfield']","1,77 m",Right-Back
Rodrigo Gomes,€15.00m,"['Right Midfield', 'Left Midfield', 'Right Winger']","1,75 m",Right Midfield
Yerson Mosquera,€6.00m,"['Centre-Back', 'Right-Back']","1,88 m",Centre-Back
Santiago Bueno,€8.00m,['Centre-Back'],"1,90 m",Centre-Back
Craig Dawson,€2.00m,"['Centre-Back', 'Right-Back']","1,88 m",Centre-Back
Jose Sa,,['Sweeper'],N/A,Sweeper
