Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches,Team,Playing Time.3
Squad Total,,,26.1,12.0,132,1080.0,12.0,21.0,14.0,35.0,21.0,0.0,0.0,28.0,1.0,17.4,17.4,12.2,29.6,241.0,518.0,514.0,1.75,1.17,2.92,1.75,2.92,1.45,1.02,2.47,1.45,2.47,,Brighton-and-Hove-Albion,
Opponent Total,,,26.6,12.0,132,1080.0,12.0,16.0,11.0,27.0,14.0,2.0,2.0,33.0,3.0,20.0,18.4,16.5,34.9,203.0,415.0,411.0,1.33,0.92,2.25,1.17,2.08,1.67,1.38,3.04,1.54,2.91,,Brighton-and-Hove-Albion,
Guglielmo Vicario,it ITA,GK,28.0,12.0,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Tottenham-Hotspur,
Pedro Porro,es ESP,DF,25.0,12.0,12,1076.0,12.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,1.3,2.3,35.0,68.0,45.0,0.17,0.08,0.25,0.17,0.25,0.08,0.11,0.2,0.08,0.2,Matches,Tottenham-Hotspur,
Destiny Udogie,it ITA,DF,22.0,12.0,12,1004.0,11.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.2,1.5,29.0,67.0,61.0,0.0,0.09,0.09,0.0,0.09,0.03,0.11,0.14,0.03,0.14,Matches,Tottenham-Hotspur,
Cristian Romero,ar ARG,DF,26.0,11.0,11,960.0,10.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,0.5,1.6,10.0,48.0,2.0,0.09,0.0,0.09,0.09,0.09,0.1,0.05,0.15,0.1,0.15,Matches,Tottenham-Hotspur,
Dejan Kulusevski,se SWE,"MF,FW",24.0,12.0,11,949.0,10.5,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,1.5,1.5,3.6,5.1,47.0,56.0,82.0,0.19,0.28,0.47,0.19,0.47,0.14,0.34,0.48,0.14,0.48,Matches,Tottenham-Hotspur,
Brennan Johnson,wls WAL,FW,23.0,12.0,10,894.0,9.9,5.0,0.0,5.0,5.0,0.0,0.0,2.0,0.0,6.3,6.3,0.7,7.0,31.0,28.0,100.0,0.5,0.0,0.5,0.5,0.5,0.64,0.07,0.7,0.64,0.7,Matches,Tottenham-Hotspur,
Dominic Solanke,eng ENG,FW,27.0,10.0,10,887.0,9.9,4.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,5.6,5.6,1.2,6.8,17.0,22.0,45.0,0.41,0.2,0.61,0.41,0.61,0.57,0.12,0.69,0.57,0.69,Matches,Tottenham-Hotspur,
James Maddison,eng ENG,MF,28.0,12.0,10,774.0,8.6,5.0,3.0,8.0,5.0,0.0,0.0,2.0,0.0,3.2,3.2,1.9,5.0,19.0,71.0,44.0,0.58,0.35,0.93,0.58,0.93,0.37,0.22,0.59,0.37,0.59,Matches,Tottenham-Hotspur,
Son Heung-min,kr KOR,FW,32.0,9.0,9,726.0,8.1,3.0,4.0,7.0,3.0,0.0,0.0,0.0,0.0,1.9,1.9,3.3,5.2,38.0,52.0,113.0,0.37,0.5,0.87,0.37,0.87,0.24,0.41,0.65,0.24,0.65,Matches,Tottenham-Hotspur,
Micky van de Ven,nl NED,DF,23.0,8.0,8,710.0,7.9,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,1.2,1.4,8.0,42.0,1.0,0.0,0.25,0.25,0.0,0.25,0.03,0.15,0.18,0.03,0.18,Matches,Tottenham-Hotspur,
Rodrigo Bentancur,uy URU,MF,27.0,10.0,7,535.0,5.9,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.7,0.7,0.1,0.8,5.0,40.0,3.0,0.17,0.0,0.17,0.17,0.17,0.11,0.01,0.13,0.11,0.13,Matches,Tottenham-Hotspur,
Pape Matar Sarr,sn SEN,MF,22.0,12.0,5,534.0,5.9,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,1.2,1.9,10.0,38.0,21.0,0.0,0.34,0.34,0.0,0.34,0.12,0.2,0.32,0.12,0.32,Matches,Tottenham-Hotspur,
Yves Bissouma,ml MLI,MF,28.0,9.0,5,491.0,5.5,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.3,0.3,0.2,0.5,9.0,32.0,0.0,0.37,0.0,0.37,0.37,0.37,0.05,0.04,0.09,0.05,0.09,Matches,Tottenham-Hotspur,
Radu Dragusin,ro ROU,DF,22.0,5.0,4,370.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Tottenham-Hotspur,
Timo Werner,de GER,"FW,MF",28.0,9.0,2,270.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,1.1,2.1,28.0,17.0,54.0,0.0,0.67,0.67,0.0,0.67,0.31,0.37,0.69,0.31,0.69,Matches,Tottenham-Hotspur,
Wilson Odobert,fr FRA,FW,20.0,3.0,2,162.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,13.0,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.23,0.03,0.27,0.23,0.27,Matches,Tottenham-Hotspur,
Ben Davies,wls WAL,DF,31.0,2.0,1,120.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Tottenham-Hotspur,
